# x	y	u	v	flags	mask
4.8900e+02	3.3400e+02	-6.9385e+01	-7.0150e+01	0.0000e+00	0.0000e+00
5.1000e+02	3.3400e+02	-2.6750e+02	-6.6538e+01	0.0000e+00	0.0000e+00
5.3100e+02	3.3400e+02	9.1952e+01	-6.7621e+01	0.0000e+00	0.0000e+00
5.5200e+02	3.3400e+02	-8.1690e+01	-6.7872e+01	0.0000e+00	0.0000e+00
5.7300e+02	3.3400e+02	-2.2861e+00	-6.5006e+01	0.0000e+00	0.0000e+00
5.9400e+02	3.3400e+02	-4.8634e+00	-5.8595e+01	0.0000e+00	0.0000e+00
6.1500e+02	3.3400e+02	-8.3893e+01	-6.0651e+01	0.0000e+00	0.0000e+00
6.3600e+02	3.3400e+02	-2.3467e+02	-2.0098e+01	0.0000e+00	0.0000e+00
6.5700e+02	3.3400e+02	1.5038e+02	-2.6128e+01	0.0000e+00	0.0000e+00
6.7800e+02	3.3400e+02	-1.8769e+00	-9.6564e+00	0.0000e+00	0.0000e+00
6.9900e+02	3.3400e+02	7.1703e+01	1.7905e+02	0.0000e+00	0.0000e+00
7.2000e+02	3.3400e+02	6.9432e+01	2.8051e+01	0.0000e+00	0.0000e+00
7.4100e+02	3.3400e+02	-1.9376e+01	6.3034e+01	0.0000e+00	0.0000e+00
7.6200e+02	3.3400e+02	-7.1633e+01	6.4433e+01	0.0000e+00	0.0000e+00
7.8300e+02	3.3400e+02	7.6227e+01	7.1803e+01	0.0000e+00	0.0000e+00
8.0400e+02	3.3400e+02	-1.1649e+01	7.1577e+01	0.0000e+00	0.0000e+00
8.2500e+02	3.3400e+02	1.2442e+02	8.1192e+01	0.0000e+00	0.0000e+00
2.7000e+01	3.1300e+02	3.8456e+00	-7.8379e+01	0.0000e+00	0.0000e+00
4.8000e+01	3.1300e+02	1.5048e+01	-1.7617e+01	0.0000e+00	0.0000e+00
6.9000e+01	3.1300e+02	-1.0802e+00	-4.1143e+02	0.0000e+00	0.0000e+00
9.0000e+01	3.1300e+02	-1.1661e+00	-6.5024e+01	0.0000e+00	0.0000e+00
1.1100e+02	3.1300e+02	1.7126e+01	-1.2194e+01	0.0000e+00	0.0000e+00
1.3200e+02	3.1300e+02	-7.8777e+01	-6.1546e+00	0.0000e+00	0.0000e+00
1.5300e+02	3.1300e+02	7.7153e+01	7.9881e-01	0.0000e+00	0.0000e+00
1.7400e+02	3.1300e+02	7.3142e+01	-1.2942e-01	0.0000e+00	0.0000e+00
1.9500e+02	3.1300e+02	7.8072e+01	-3.0943e-01	0.0000e+00	0.0000e+00
2.1600e+02	3.1300e+02	7.0655e+01	3.8145e-01	0.0000e+00	0.0000e+00
